año,anos_escolaridad_esp,indice_gini,ingreso_per_capita_ppp,pob_desocupada,pob_ocupada,tasa_alfabetizacion
2005,12.79952,50.9,13070.0,4320762.0,11547549.25,91.629997253418
2006,12.91389,49.7,14320.0,4969618.25,11518007.75,91.7300033569336
2007,13.03226,50.25,14790.0,5062214.0,11772820.5,92.8000030517578
2008,13.20758,50.8,15470.0,5064735.0,12060498.5,92.9300003051758
2009,13.2684,49.25,14960.0,4478730.25,12604210.0,93.4400024414062
2010,13.39921,47.7,15730.0,3941441.0,12681009.0,93.0699996948242
2011,13.44376,48.650000000000006,17010.0,3953007.25,13237458.25,93.5199966430664
2012,13.70121,49.6,17630.0,3852480.75,13734768.75,94.2300033569336
2013,13.87196,49.25,17640.0,3614246.75,13690484.0,93.9599990844727
2014,14.04315,48.9,18370.0,3301057.25,13327278.75,94.5599975585938
2015,14.19681,47.9,18590.0,3215079.0,13644057.0,94.4700012207031
2016,14.63751,46.9,19580.0,3040362.25,13786566.75,94.8600006103516
2017,14.80978,46.45,19970.0,2643290.5,13920019.75,94.9700012207031
2018,14.86537,46.0,20380.0,2385536.25,14541229.25,95.379997253418
2019,14.86537,45.3,20370.0,1851650.25,15097449.75,95.3889403219417
2020,14.86537,44.6,18730.0,1465334.3333333333,14521407.0,95.25
2021,14.86537,44.05,20250.0,1241314.5,15739345.5,95.6890981310362
2022,14.86537,43.5,22600.0,855490.5,16232844.5,95.120002746582
2023,14.86537,43.05,24620.0,742043.25,16634944.0,95.8346901734281
2024,14.86537,42.6,25460.0,681394.0,16725464.5,95.5500030517578
2025,14.86537,42.6,25460.0,519169.5,17355009.75,95.5500030517578
